id,id_client,id_product,qtd,total,sale_date,product_id,product_name,category,start_date,usd_price,cotacaoVenda,fx_date_used,custo_unitario_brl,custo_total_brl,prejuizo_total_brl,teve_prejuizo
666,14,15,5,132524.05,2023-01-01,15,Radar Garmin Tidal Thrust,eletrônicos,2022-12-06,5325.4,,,,,0.0,False
4997,23,133,1,1893.0,2023-01-01,133,Âncora Bruce Core Pulse,ancoragem,2022-07-06,348.47,,,,,0.0,False
4212,9,96,6,402538.75,2023-01-01,96,Motor de Popa Tohatsu Boost Swift 126HP,propulsão,2022-09-30,13063.42,,,,,0.0,False
2300,30,95,9,596858.4,2023-01-01,95,Motor Diesel Honda Leviathan 133HP,propulsão,2022-11-23,12945.63,,,,,0.0,False
1230,17,91,4,512566.8,2023-01-01,91,Motor Elétrico Tohatsu Zenith Oceanic 113HP,propulsão,2022-03-16,26303.31,,,,,0.0,False
3131,28,130,13,53873.0,2023-01-01,130,Boia de Arqueamento Delta Zen Boost Vortex,ancoragem,2021-03-22,749.89,,,,,0.0,False
8211,14,67,3,257367.0,2023-01-01,67,Motor de Popa Yamaha Mako 108HP,propulsão,2022-06-17,16720.73,,,,,0.0,False
3549,10,53,13,662886.25,2023-01-01,53,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,propulsão,2022-07-19,9958.63,,,,,0.0,False
4294,7,44,5,51332.3,2023-01-01,44,GPS Simrad Zen Hydra Peak,eletrônicos,2022-01-17,1963.02,,,,,0.0,False
7765,30,22,2,74960.7,2023-01-01,22,Transponder Furuno Force Ion,eletrônicos,2022-08-22,7630.67,,,,,0.0,False
5256,19,78,12,1461139.0,2023-01-01,78,Motor Elétrico Honda Mako Axis 131HP,propulsão,2022-10-14,23053.04,,,,,0.0,False
6459,3,91,8,1079088.0,2023-01-02,91,Motor Elétrico Tohatsu Zenith Oceanic 113HP,propulsão,2022-03-16,26303.31,5.3436,2023-01-02,140554.36731600002,1124434.9385280001,45346.938528000144,True
1238,42,149,4,4654.0,2023-01-02,149,Cabo de Nylon Bruce Core,ancoragem,2022-07-11,217.62,5.3436,2023-01-02,1162.8742320000001,4651.4969280000005,0.0,False
663,39,147,9,25907.45,2023-01-02,147,Corrente Danforth Force Leviathan Impulse,ancoragem,2022-08-25,592.19,5.3436,2023-01-02,3164.4264840000005,28479.838356000004,2572.388356000003,True
7082,41,140,6,17866.65,2023-01-02,140,Boia de Arqueamento Bruce Dash Titan Pulse,ancoragem,2021-02-03,586.81,5.3436,2023-01-02,3135.677916,18814.067496,947.4174959999982,True
3525,32,133,6,11356.0,2023-01-02,133,Âncora Bruce Core Pulse,ancoragem,2022-07-06,348.47,5.3436,2023-01-02,1862.0842920000002,11172.505752000001,0.0,False
